Modèle,MAE,RMSE,R2
KNN,467.061,629.066,0.9969
Random Forest,354.328,491.597,0.9981
XGBoost,322.416,459.371,0.9984
XGBoost_Feries,297.352,419.083,0.9986
KNN,467.061,629.066,0.9969
Random Forest,354.328,491.597,0.9981
XGBoost,322.416,459.371,0.9984
KNN,467.061,629.066,0.9969
Random Forest,354.328,491.597,0.9981
XGBoost,322.416,459.371,0.9984
XGBoost_Feries,297.352,419.083,0.9986
KNN,467.061,629.066,0.9969
Random Forest,354.328,491.597,0.9981
XGBoost,322.416,459.371,0.9984
XGBoost_Feries,297.352,419.083,0.9986
